t;V;Vx;Vy;h;d;alpha;
0.00;10.00;7.07;7.07;5.00;0.00;0.79;
0.00;10.00;7.07;7.07;5.00;0.00;0.79;
0.00;10.00;7.07;7.07;5.00;0.00;0.79;
0.00;10.00;7.07;7.07;5.00;0.00;0.78;
0.00;9.99;7.07;7.06;5.01;0.01;0.78;
0.00;9.99;7.07;7.06;5.01;0.01;0.78;
0.00;9.99;7.07;7.06;5.01;0.01;0.78;
0.00;9.99;7.07;7.06;5.01;0.01;0.78;
0.00;9.99;7.07;7.06;5.01;0.01;0.78;
0.00;9.99;7.07;7.05;5.01;0.01;0.78;
0.00;9.99;7.07;7.05;5.01;0.01;0.78;
0.00;9.99;7.07;7.05;5.02;0.02;0.78;
0.00;9.98;7.07;7.05;5.02;0.02;0.78;
0.00;9.98;7.07;7.05;5.02;0.02;0.78;
0.00;9.98;7.07;7.04;5.02;0.02;0.78;
0.00;9.98;7.07;7.04;5.02;0.02;0.78;
0.00;9.98;7.07;7.04;5.02;0.02;0.78;
0.00;9.98;7.07;7.04;5.02;0.02;0.78;
0.00;9.98;7.07;7.04;5.02;0.02;0.78;
0.00;9.97;7.07;7.03;5.03;0.03;0.78;
0.00;9.97;7.07;7.03;5.03;0.03;0.78;
0.00;9.97;7.07;7.03;5.03;0.03;0.78;
0.00;9.97;7.07;7.03;5.03;0.03;0.78;
0.00;9.97;7.07;7.03;5.03;0.03;0.78;
0.00;9.97;7.07;7.02;5.03;0.03;0.78;
0.00;9.97;7.07;7.02;5.03;0.03;0.78;
0.01;9.96;7.07;7.02;5.04;0.04;0.78;
0.01;9.96;7.07;7.02;5.04;0.04;0.78;
0.01;9.96;7.07;7.02;5.04;0.04;0.78;
0.01;9.96;7.07;7.02;5.04;0.04;0.78;
0.01;9.96;7.07;7.01;5.04;0.04;0.78;
0.01;9.96;7.07;7.01;5.04;0.04;0.78;
0.01;9.96;7.07;7.01;5.04;0.04;0.78;
0.01;9.96;7.07;7.01;5.05;0.05;0.78;
0.01;9.95;7.07;7.01;5.05;0.05;0.78;
0.01;9.95;7.07;7.00;5.05;0.05;0.78;
0.01;9.95;7.07;7.00;5.05;0.05;0.78;
0.01;9.95;7.07;7.00;5.05;0.05;0.78;
0.01;9.95;7.07;7.00;5.05;0.05;0.78;
0.01;9.95;7.07;7.00;5.05;0.05;0.78;
0.01;9.95;7.07;6.99;5.06;0.06;0.78;
0.01;9.94;7.07;6.99;5.06;0.06;0.78;
0.01;9.94;7.07;6.99;5.06;0.06;0.78;
0.01;9.94;7.07;6.99;5.06;0.06;0.78;
0.01;9.94;7.07;6.99;5.06;0.06;0.78;
0.01;9.94;7.07;6.98;5.06;0.06;0.78;
0.01;9.94;7.07;6.98;5.06;0.06;0.78;
0.01;9.94;7.07;6.98;5.06;0.07;0.78;
0.01;9.93;7.07;6.98;5.07;0.07;0.78;
0.01;9.93;7.07;6.98;5.07;0.07;0.78;
0.01;9.93;7.07;6.97;5.07;0.07;0.78;
0.01;9.93;7.07;6.97;5.07;0.07;0.78;
0.01;9.93;7.07;6.97;5.07;0.07;0.78;
0.01;9.93;7.07;6.97;5.07;0.07;0.78;
0.01;9.93;7.07;6.97;5.07;0.07;0.78;
0.01;9.93;7.07;6.97;5.08;0.08;0.78;
0.01;9.92;7.07;6.96;5.08;0.08;0.78;
0.01;9.92;7.07;6.96;5.08;0.08;0.78;
0.01;9.92;7.07;6.96;5.08;0.08;0.78;
0.01;9.92;7.07;6.96;5.08;0.08;0.78;
0.01;9.92;7.07;6.96;5.08;0.08;0.78;
0.01;9.92;7.07;6.95;5.08;0.08;0.78;
0.01;9.92;7.07;6.95;5.09;0.09;0.78;
0.01;9.91;7.07;6.95;5.09;0.09;0.78;
0.01;9.91;7.07;6.95;5.09;0.09;0.78;
0.01;9.91;7.07;6.95;5.09;0.09;0.78;
0.01;9.91;7.07;6.94;5.09;0.09;0.78;
0.01;9.91;7.07;6.94;5.09;0.09;0.78;
0.01;9.91;7.07;6.94;5.09;0.09;0.78;
0.01;9.91;7.07;6.94;5.09;0.10;0.78;
0.01;9.91;7.07;6.94;5.10;0.10;0.78;
0.01;9.90;7.07;6.93;5.10;0.10;0.78;
0.01;9.90;7.07;6.93;5.10;0.10;0.78;
0.01;9.90;7.07;6.93;5.10;0.10;0.78;
0.01;9.90;7.07;6.93;5.10;0.10;0.78;
0.01;9.90;7.07;6.93;5.10;0.10;0.78;
0.01;9.90;7.07;6.92;5.10;0.11;0.77;
0.02;9.90;7.07;6.92;5.11;0.11;0.77;
0.02;9.89;7.07;6.92;5.11;0.11;0.77;
0.02;9.89;7.07;6.92;5.11;0.11;0.77;
0.02;9.89;7.07;6.92;5.11;0.11;0.77;
0.02;9.89;7.07;6.92;5.11;0.11;0.77;
0.02;9.89;7.07;6.91;5.11;0.11;0.77;
0.02;9.89;7.07;6.91;5.11;0.12;0.77;
0.02;9.89;7.07;6.91;5.12;0.12;0.77;
0.02;9.89;7.07;6.91;5.12;0.12;0.77;
0.02;9.88;7.07;6.91;5.12;0.12;0.77;
0.02;9.88;7.07;6.90;5.12;0.12;0.77;
0.02;9.88;7.07;6.90;5.12;0.12;0.77;
0.02;9.88;7.07;6.90;5.12;0.12;0.77;
0.02;9.88;7.07;6.90;5.12;0.12;0.77;
0.02;9.88;7.07;6.90;5.12;0.13;0.77;
0.02;9.88;7.07;6.89;5.13;0.13;0.77;
0.02;9.87;7.07;6.89;5.13;0.13;0.77;
0.02;9.87;7.07;6.89;5.13;0.13;0.77;
0.02;9.87;7.07;6.89;5.13;0.13;0.77;
0.02;9.87;7.07;6.89;5.13;0.13;0.77;
0.02;9.87;7.07;6.88;5.13;0.13;0.77;
0.02;9.87;7.07;6.88;5.13;0.14;0.77;
0.02;9.87;7.07;6.88;5.14;0.14;0.77;
0.02;9.86;7.07;6.88;5.14;0.14;0.77;
0.02;9.86;7.07;6.88;5.14;0.14;0.77;
0.02;9.86;7.07;6.87;5.14;0.14;0.77;
0.02;9.86;7.07;6.87;5.14;0.14;0.77;
0.02;9.86;7.07;6.87;5.14;0.14;0.77;
0.02;9.86;7.07;6.87;5.14;0.15;0.77;
0.02;9.86;7.07;6.87;5.14;0.15;0.77;
0.02;9.86;7.07;6.87;5.15;0.15;0.77;
0.02;9.85;7.07;6.86;5.15;0.15;0.77;
0.02;9.85;7.07;6.86;5.15;0.15;0.77;
0.02;9.85;7.07;6.86;5.15;0.15;0.77;
0.02;9.85;7.07;6.86;5.15;0.15;0.77;
0.02;9.85;7.07;6.86;5.15;0.16;0.77;
0.02;9.85;7.07;6.85;5.15;0.16;0.77;
0.02;9.85;7.07;6.85;5.16;0.16;0.77;
0.02;9.84;7.07;6.85;5.16;0.16;0.77;
0.02;9.84;7.07;6.85;5.16;0.16;0.77;
0.02;9.84;7.07;6.85;5.16;0.16;0.77;
0.02;9.84;7.07;6.84;5.16;0.16;0.77;
0.02;9.84;7.07;6.84;5.16;0.17;0.77;
0.02;9.84;7.07;6.84;5.16;0.17;0.77;
0.02;9.84;7.07;6.84;5.17;0.17;0.77;
0.02;9.84;7.07;6.84;5.17;0.17;0.77;
0.02;9.83;7.07;6.83;5.17;0.17;0.77;
0.02;9.83;7.07;6.83;5.17;0.17;0.77;
0.02;9.83;7.07;6.83;5.17;0.17;0.77;
0.02;9.83;7.07;6.83;5.17;0.17;0.77;
0.02;9.83;7.07;6.83;5.17;0.18;0.77;
0.03;9.83;7.07;6.82;5.17;0.18;0.77;
0.03;9.83;7.07;6.82;5.18;0.18;0.77;
0.03;9.82;7.07;6.82;5.18;0.18;0.77;
0.03;9.82;7.07;6.82;5.18;0.18;0.77;
0.03;9.82;7.07;6.82;5.18;0.18;0.77;
0.03;9.82;7.07;6.82;5.18;0.18;0.77;
0.03;9.82;7.07;6.81;5.18;0.19;0.77;
0.03;9.82;7.07;6.81;5.18;0.19;0.77;
0.03;9.82;7.07;6.81;5.19;0.19;0.77;
0.03;9.82;7.07;6.81;5.19;0.19;0.77;
0.03;9.81;7.07;6.81;5.19;0.19;0.77;
0.03;9.81;7.07;6.80;5.19;0.19;0.77;
0.03;9.81;7.07;6.80;5.19;0.19;0.77;
0.03;9.81;7.07;6.80;5.19;0.20;0.77;
0.03;9.81;7.07;6.80;5.19;0.20;0.77;
0.03;9.81;7.07;6.80;5.19;0.20;0.77;
0.03;9.81;7.07;6.79;5.20;0.20;0.77;
0.03;9.80;7.07;6.79;5.20;0.20;0.77;
0.03;9.80;7.07;6.79;5.20;0.20;0.77;
0.03;9.80;7.07;6.79;5.20;0.20;0.76;
0.03;9.80;7.07;6.79;5.20;0.21;0.76;
0.03;9.80;7.07;6.78;5.20;0.21;0.76;
0.03;9.80;7.07;6.78;5.20;0.21;0.76;
0.03;9.80;7.07;6.78;5.21;0.21;0.76;
0.03;9.80;7.07;6.78;5.21;0.21;0.76;
0.03;9.79;7.07;6.78;5.21;0.21;0.76;
0.03;9.79;7.07;6.77;5.21;0.21;0.76;
0.03;9.79;7.07;6.77;5.21;0.21;0.76;
0.03;9.79;7.07;6.77;5.21;0.22;0.76;
0.03;9.79;7.07;6.77;5.21;0.22;0.76;
0.03;9.79;7.07;6.77;5.21;0.22;0.76;
0.03;9.79;7.07;6.77;5.22;0.22;0.76;
0.03;9.78;7.07;6.76;5.22;0.22;0.76;
0.03;9.78;7.07;6.76;5.22;0.22;0.76;
0.03;9.78;7.07;6.76;5.22;0.22;0.76;
0.03;9.78;7.07;6.76;5.22;0.23;0.76;
0.03;9.78;7.07;6.76;5.22;0.23;0.76;
0.03;9.78;7.07;6.75;5.22;0.23;0.76;
0.03;9.78;7.07;6.75;5.23;0.23;0.76;
0.03;9.78;7.07;6.75;5.23;0.23;0.76;
0.03;9.77;7.07;6.75;5.23;0.23;0.76;
0.03;9.77;7.07;6.75;5.23;0.23;0.76;
0.03;9.77;7.07;6.74;5.23;0.24;0.76;
0.03;9.77;7.07;6.74;5.23;0.24;0.76;
0.03;9.77;7.07;6.74;5.23;0.24;0.76;
0.03;9.77;7.07;6.74;5.23;0.24;0.76;
0.03;9.77;7.07;6.74;5.24;0.24;0.76;
0.03;9.76;7.07;6.73;5.24;0.24;0.76;
0.03;9.76;7.07;6.73;5.24;0.24;0.76;
0.03;9.76;7.07;6.73;5.24;0.25;0.76;
0.03;9.76;7.07;6.73;5.24;0.25;0.76;
0.04;9.76;7.07;6.73;5.24;0.25;0.76;
0.04;9.76;7.07;6.72;5.24;0.25;0.76;
0.04;9.76;7.07;6.72;5.24;0.25;0.76;
0.04;9.76;7.07;6.72;5.25;0.25;0.76;
0.04;9.75;7.07;6.72;5.25;0.25;0.76;
0.04;9.75;7.07;6.72;5.25;0.26;0.76;
0.04;9.75;7.07;6.72;5.25;0.26;0.76;
0.04;9.75;7.07;6.71;5.25;0.26;0.76;
0.04;9.75;7.07;6.71;5.25;0.26;0.76;
0.04;9.75;7.07;6.71;5.25;0.26;0.76;
0.04;9.75;7.07;6.71;5.26;0.26;0.76;
0.04;9.74;7.07;6.71;5.26;0.26;0.76;
0.04;9.74;7.07;6.70;5.26;0.26;0.76;
0.04;9.74;7.07;6.70;5.26;0.27;0.76;
0.04;9.74;7.07;6.70;5.26;0.27;0.76;
0.04;9.74;7.07;6.70;5.26;0.27;0.76;
0.04;9.74;7.07;6.70;5.26;0.27;0.76;
0.04;9.74;7.07;6.69;5.26;0.27;0.76;
0.04;9.74;7.07;6.69;5.27;0.27;0.76;
0.04;9.73;7.07;6.69;5.27;0.27;0.76;
0.04;9.73;7.07;6.69;5.27;0.28;0.76;
0.04;9.73;7.07;6.69;5.27;0.28;0.76;
0.04;9.73;7.07;6.68;5.27;0.28;0.76;
0.04;9.73;7.07;6.68;5.27;0.28;0.76;
0.04;9.73;7.07;6.68;5.27;0.28;0.76;
0.04;9.73;7.07;6.68;5.28;0.28;0.76;
0.04;9.73;7.07;6.68;5.28;0.28;0.76;
0.04;9.72;7.07;6.67;5.28;0.29;0.76;
0.04;9.72;7.07;6.67;5.28;0.29;0.76;
0.04;9.72;7.07;6.67;5.28;0.29;0.76;
0.04;9.72;7.07;6.67;5.28;0.29;0.76;
0.04;9.72;7.07;6.67;5.28;0.29;0.76;
0.04;9.72;7.07;6.67;5.28;0.29;0.76;
0.04;9.72;7.07;6.66;5.29;0.29;0.76;
0.04;9.71;7.07;6.66;5.29;0.30;0.76;
0.04;9.71;7.07;6.66;5.29;0.30;0.76;
0.04;9.71;7.07;6.66;5.29;0.30;0.76;
0.04;9.71;7.07;6.66;5.29;0.30;0.76;
0.04;9.71;7.07;6.65;5.29;0.30;0.75;
0.04;9.71;7.07;6.65;5.29;0.30;0.75;
0.04;9.71;7.07;6.65;5.29;0.30;0.75;
